ebook_id,title,author,word_count,char_count,filename,source_url,skipped
68828,Sto jisker ethických,Alexandr Batěk,3183,26401,68828_Sto_jisker_ethických_by_Alexandr_Batěk_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/68828.txt.utf-8,False
13083,R.U.R.,Karel Čapek,18107,117290,13083_R.U.R._by_Karel_Čapek_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/13083.txt.utf-8,False
37525,Dvojník. Nétička Nezvánova a Malinký Hrdina,Fyodor Dostoyevsky,121080,733045,37525_Dvojník._Nétička_Nezvánova_a_Malinký_Hrdina_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/37525.txt.utf-8,False
34225,Zápisky z mrtvého domu,Fyodor Dostoyevsky,109188,661934,34225_Zápisky_z_mrtvého_domu_by_Fyodor_Dostoyevsky_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/34225.txt.utf-8,False
59765,Cítanka pro skoly obecné. Díl I,Jan Stastný,11497,72736,"59765_Cítanka_pro_skoly_obecné._Díl_I_by_Jan_Stastný,_Jan_Lepar,_and_Josef_Sokol_-_Project_Gutenberg.txt",https://www.gutenberg.org/ebooks/59765.txt.utf-8,False
24575,Úplná učebnice mezinárodní řeči dra. Esperanta,František Vladimír Lorenc,5208,31556,24575_Úplná_učebnice_mezinárodní_řeči_dra._Esperanta_by_František_Vladimír_Lorenc_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/24575.txt.utf-8,False
16843,Cvičení maličkých ve svatém náboženství křesťansko-katolickém,Peregrin Obdržálek,4170,24906,16843_Cvičení_maličkých_ve_svatém_náboženství_křesťansko-katolickém_by_Peregrin_Obdržálek_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/16843.txt.utf-8,False
47754,Blesky nad Beskydami,František Omelka,46035,284141,47754_Blesky_nad_Beskydami_by_František_Omelka_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/47754.txt.utf-8,False
27960,Hore dědinú: A jiné povídky,František Omelka,9046,52394,27960_Hore_dědinú-_A_jiné_povídky_by_František_Omelka_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/27960.txt.utf-8,False
29592,Pasáček Ali: Pověst z východu,František Omelka,6713,40782,29592_Pasáček_Ali-_Pověst_z_východu_by_František_Omelka_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/29592.txt.utf-8,False
29648,Štafeta,František Omelka,14655,90389,29648_Štafeta_by_František_Omelka_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/29648.txt.utf-8,False
27974,Vlci proti Mustangům,František Omelka,38889,231780,27974_Vlci_proti_Mustangům_by_František_Omelka_-_Project_Gutenberg.txt,https://www.gutenberg.org/ebooks/27974.txt.utf-8,False
